Date;Orang;Barang
2019-01-01;104890;8317
2019-01-02;110384;31564
2019-01-03;116037;40438
2019-01-04;116595;41762
2019-01-05;122665;32590
2019-01-06;120573;21249
2019-01-07;109762;42302
2019-01-08;107067;44115
2019-01-09;108974;44497
2019-01-10;109982;43368
2019-01-11;111246;41818
2019-01-12;111401;32532
2019-01-13;106439;20617
2019-01-14;104933;41212
2019-01-15;105059;43974
2019-01-16;106244;44534
2019-01-17;106727;44110
2019-01-18;108194;42019
2019-01-19;107060;31627
2019-01-20;104466;21344
2019-01-21;104996;39575
2019-01-22;103102;41604
2019-01-23;105295;42852
2019-01-24;104987;41777
2019-01-25;110752;39588
2019-01-26;105741;30162
2019-01-27;104360;20549
2019-01-28;105400;40647
2019-01-29;104538;42213
2019-01-30;104785;42674
2019-01-31;105800;40839
2019-02-01;112606;39796
2019-02-02;115356;32092
2019-02-03;110167;19833
2019-02-04;105620;32117
2019-02-05;102156;20335
2019-02-06;107245;39983
2019-02-07;109153;42381
2019-02-08;111501;41759
2019-02-09;111331;31356
2019-02-10;112367;20141
2019-02-11;108045;39920
2019-02-12;104338;41068
2019-02-13;107489;42037
2019-02-14;110242;43551
2019-02-15;112051;41200
2019-02-16;108445;30680
2019-02-17;108251;20893
2019-02-18;105973;41410
2019-02-19;102918;43479
2019-02-20;107805;43145
2019-02-21;106016;41472
2019-02-22;109239;41148
2019-02-23;105647;30722
2019-02-24;104937;20754
2019-02-25;106123;40913
2019-02-26;104496;43275
2019-02-27;108264;43158
2019-02-28;111346;42696
2019-03-01;112440;40557
2019-03-02;115399;30342
2019-03-03;112816;19073
2019-03-04;107738;39580
2019-03-05;106540;41386
2019-03-06;116327;37418
2019-03-07;98145;25005
2019-03-08;110771;40404
2019-03-09;110845;30915
2019-03-10;112502;20615
2019-03-11;110631;40158
2019-03-12;105918;42358
2019-03-13;108511;43059
2019-03-14;110082;43351
2019-03-15;112857;41029
2019-03-16;111063;32107
2019-03-17;107942;21360
2019-03-18;106456;41779
2019-03-19;106643;42855
2019-03-20;110168;43994
2019-03-21;107969;43512
2019-03-22;110090;42089
2019-03-23;109257;30565
2019-03-24;109312;21157
2019-03-25;108722;40435
2019-03-26;105176;42985
2019-03-27;109368;43835
2019-03-28;108960;43042
2019-03-29;113842;41123
2019-03-30;114611;31549
2019-03-31;111920;21359
2019-04-01;108663;40263
2019-04-02;112488;39802
2019-04-03;100044;26929
2019-04-04;112216;43114
2019-04-05;115439;43324
2019-04-06;117710;32435
2019-04-07;116726;21426
2019-04-08;111308;41825
2019-04-09;108153;43085
2019-04-10;112502;45660
2019-04-11;111546;45179
2019-04-12;114022;45120
2019-04-13;112400;33320
2019-04-14;109820;22867
2019-04-15;109362;41848
2019-04-16;117309;34845
2019-04-17;70526;12435
2019-04-18;105389;35779
2019-04-19;90321;24922
2019-04-20;106678;29793
2019-04-21;115543;20297
2019-04-22;112883;43576
2019-04-23;109744;46266
2019-04-24;112381;44945
2019-04-25;117468;46331
2019-04-26;118676;43444
2019-04-27;124909;34088
2019-04-28;127735;23245
2019-04-29;117312;43626
2019-04-30;121686;41763
2019-05-01;115457;25618
2019-05-02;121630;46053
2019-05-03;126761;45011
2019-05-04;129685;36806
2019-05-05;101665;21912
2019-05-06;94892;36398
2019-05-07;103244;45297
2019-05-08;102651;47085
2019-05-09;102677;46168
2019-05-10;105374;45979
2019-05-11;96488;36953
2019-05-12;89186;26123
2019-05-13;106465;46966
2019-05-14;105015;47971
2019-05-15;105923;47204
2019-05-16;107803;47136
2019-05-17;109867;47113
2019-05-18;105458;38808
2019-05-19;96086;27710
2019-05-20;109659;47538
2019-05-21;106205;48841
2019-05-22;97695;47450
2019-05-23;109461;48084
2019-05-24;117930;45811
2019-05-25;125043;36774
2019-05-26;116053;26218
2019-05-27;125842;40924
2019-05-28;131099;36123
2019-05-29;149357;23411
2019-05-30;126538;9299
2019-05-31;128144;6909
2019-06-01;122886;4707
2019-06-02;104264;3776
2019-06-03;89275;3589
2019-06-04;69856;2006
2019-06-05;106790;929
2019-06-06;122449;1470
2019-06-07;112791;2052
2019-06-08;133965;2045
2019-06-09;148184;2883
2019-06-10;132353;9911
2019-06-11;125572;19138
2019-06-12;122828;28021
2019-06-13;120701;35154
2019-06-14;120232;36481
2019-06-15;131364;28311
2019-06-16;138639;20376
2019-06-17;119068;39967
2019-06-18;116669;43993
2019-06-19;119374;44389
2019-06-20;116796;44446
2019-06-21;119749;45222
2019-06-22;124049;34476
2019-06-23;126702;25385
2019-06-24;117795;44232
2019-06-25;117020;47398
2019-06-26;120062;46310
2019-06-27;119528;45718
2019-06-28;125786;45545
2019-06-29;130234;35084
2019-06-30;133405;24431
2019-07-01;121264;43350
2019-07-02;117655;45030
2019-07-03;120552;46485
2019-07-04;121459;46452
2019-07-05;126131;44802
2019-07-06;134264;34475
2019-07-07;138531;24077
2019-07-08;121823;44525
2019-07-09;119053;46610
2019-07-10;122722;47053
2019-07-11;122951;48653
2019-07-12;124478;45811
2019-07-13;126050;35732
2019-07-14;122182;24847
2019-07-15;112314;45656
2019-07-16;109690;47002
2019-07-17;112400;46631
2019-07-18;114526;45908
2019-07-19;116356;44417
2019-07-20;114065;34344
2019-07-21;112383;23941
2019-07-22;110624;44368
2019-07-23;108548;46589
2019-07-24;109832;47342
2019-07-25;111654;47159
2019-07-26;115795;44527
2019-07-27;115238;35258
2019-07-28;113836;24915
2019-07-29;110243;44950
2019-07-30;108597;47242
2019-07-31;111576;46191
2019-08-01;109851;45557
2019-08-02;114321;43508
2019-08-03;114489;34110
2019-08-04;111837;20415
2019-08-05;107617;41907
2019-08-06;108011;45037
2019-08-07;112985;46126
2019-08-08;114846;45839
2019-08-09;122356;42718
2019-08-10;110386;25045
2019-08-11;106894;10094
2019-08-12;117347;37229
2019-08-13;113745;43754
2019-08-14;113859;44937
2019-08-15;116417;44681
2019-08-16;127373;40074
2019-08-17;97323;12224
2019-08-18;122681;20617
2019-08-19;113896;43679
2019-08-20;110336;44927
2019-08-21;113551;45539
2019-08-22;116338;45594
2019-08-23;118550;44670
2019-08-24;121568;34674
2019-08-25;121332;23855
2019-08-26;114012;45222
2019-08-27;111119;45580
2019-08-28;112118;43649
2019-08-29;112082;43800
2019-08-30;119121;43493
2019-08-31;121864;32495
2019-09-01;119984;21270
2019-09-02;111692;41817
2019-09-03;108790;44673
2019-09-04;109859;45555
2019-09-05;113153;45645
2019-09-06;117839;43644
2019-09-07;119711;33230
2019-09-08;120445;23216
2019-09-09;110452;43290
2019-09-10;108877;45245
2019-09-11;111637;46220
2019-09-12;111131;45682
2019-09-13;115386;44541
2019-09-14;114456;33094
2019-09-15;114207;23268
2019-09-16;108992;42576
2019-09-17;108040;45625
2019-09-18;109084;44883
2019-09-19;110318;44883
2019-09-20;114333;43245
2019-09-21;114341;33060
2019-09-22;108917;22263
2019-09-23;107359;43432
2019-09-24;105100;45097
2019-09-25;107007;43879
2019-09-26;109749;44609
